Api Definition,Language,Changed in SDK,Affected Versions,Guidance link,Code Location,Fixed
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 6.0.0(20),https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174,module_date_calculation\src\main\ets\components\dateCalculation\DateCalculation.ets:183,Unfixed
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 6.0.0(20),https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174,module_date_calculation\src\main\ets\components\dateInterval\DateInterval.ets:139,Unfixed
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 6.0.0(20),https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174,module_date_calculation\src\main\ets\components\yinYangConversion\YinYangConversion.ets:117,Unfixed
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 6.0.0(20),https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174,module_standard_calculator\src\main\ets\components\ScienceCalcKeyboard.ets:110,Unfixed
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 6.0.0(20),https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174,module_standard_calculator\src\main\ets\components\ScienceCalcKeyboard.ets:144,Unfixed
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 6.0.0(20),https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174,module_standard_calculator\src\main\ets\components\ScienceCalcKeyboard.ets:63,Unfixed
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 6.0.0(20),https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174,module_standard_calculator\src\main\ets\components\ScienceCalcKeyboard.ets:76,Unfixed
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 6.0.0(20),https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174,module_standard_calculator\src\main\ets\components\ScienceCalcKeyboard.ets:89,Unfixed
keyboardAvoidMode?: SheetKeyboardAvoidMode,ArkTS,6.0.0(20) Beta2,ALL,https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6002/#ch2025061805350,module_base_apis\src\main\ets\apis\ActionSheet.ets:112,Unfixed
preferType?: SheetType,ArkTS,6.0.0(20) Beta1,6.0.0(20) - 6.0.0(20),https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-6001/#section393,module_base_apis\src\main\ets\apis\ActionSheet.ets:115,Unfixed
